"month","decade","temp.mean","wv.mean","wind.2m.mean","rain.rate.mean","temp.min","wv.min","wind.2m.min","rain.rate.min","temp.max","wv.max","wind.2m.max","rain.rate.max","temp.n","wv.n","wind.2m.n","rain.rate.n"
8,2000,16.85,3.386,2.597,0.1053,16.36,2.315,1.776,0.08198,17.28,4.793,3.677,0.1268,7,7,7,7
9,2000,13.66,3.732,2.862,0.09179,13.09,2.514,1.928,0.07043,13.95,5.501,4.22,0.1158,7,7,7,7
10,2000,9.385,3.832,2.939,0.1128,8.722,2.744,2.104,0.07814,9.818,5.566,4.269,0.1436,7,7,7,7
11,2000,5.953,4.413,3.384,0.1093,5.399,3.513,2.695,0.07965,6.325,5.994,4.597,0.155,7,7,7,7
12,2000,2.796,4.211,3.23,0.08729,2.289,3.444,2.641,0.05839,3.371,5.71,4.38,0.122,7,7,7,7
1,2010,0.954,4.682,3.591,0.09076,0.5243,4.167,3.196,0.0637,1.362,5.992,4.596,0.1225,7,7,7,7
2,2010,1.008,4.604,3.531,0.06968,0.6865,4.057,3.112,0.04086,1.401,5.872,4.504,0.09997,7,7,7,7
3,2010,3.531,4.601,3.529,0.06016,3.175,4.016,3.08,0.05051,4.003,5.925,4.544,0.09045,7,7,7,7
4,2010,7.336,4.357,3.342,0.05533,6.852,3.918,3.005,0.03869,7.704,5.487,4.208,0.0649,7,7,7,7
5,2010,11.55,3.947,3.027,0.07025,10.82,3.45,2.646,0.05617,11.94,5.078,3.895,0.0824,7,7,7,7
6,2010,14.53,3.782,2.901,0.09465,13.64,3.069,2.354,0.0736,15.13,5.068,3.887,0.1127,7,7,7,7
7,2010,16.95,3.439,2.638,0.09367,16.16,2.83,2.171,0.07455,17.59,4.522,3.469,0.1063,7,7,7,7
8,2010,16.45,3.511,2.693,0.1293,15.96,2.638,2.023,0.09481,17.13,4.764,3.654,0.1915,7,7,7,7
9,2010,13.6,3.766,2.889,0.1281,13.01,2.774,2.128,0.08901,14.02,5.216,4.001,0.1771,7,7,7,7
10,2010,9.879,4.039,3.098,0.1146,9.3,3.192,2.449,0.07754,10.36,5.649,4.333,0.1405,7,7,7,7
11,2010,5.643,4.096,3.142,0.1069,5.167,3.516,2.697,0.07407,5.892,5.534,4.245,0.1346,7,7,7,7
12,2010,3.205,4.829,3.704,0.107,2.76,4.119,3.159,0.07785,3.678,6.315,4.844,0.1392,7,7,7,7
1,2020,3.023,4.653,3.569,0.1,2.437,3.773,2.894,0.07473,3.489,5.819,4.464,0.1356,7,7,7,7
2,2020,2.434,5.375,4.123,0.1161,1.747,4.482,3.438,0.07887,3.289,6.782,5.202,0.1523,7,7,7,7
3,2020,4.157,4.575,3.509,0.06185,3.811,3.703,2.84,0.04147,4.634,5.861,4.496,0.0834,7,7,7,7
4,2020,6.645,4.375,3.356,0.0299,6.185,3.503,2.687,0.02118,7.023,5.58,4.28,0.04306,7,7,7,7
5,2020,9.926,3.991,3.061,0.0924,9.134,3.258,2.499,0.07292,10.58,4.924,3.777,0.1214,7,7,7,7
6,2020,16.08,3.393,2.603,0.06886,15.12,2.513,1.928,0.0416,16.79,4.29,3.29,0.1141,7,7,7,7
7,2020,16.36,3.895,2.988,0.1225,15.58,2.684,2.059,0.07278,17.32,5.032,3.86,0.1758,7,7,7,7
8,2020,16.91,3.437,2.636,0.09649,16.04,2.49,1.91,0.06888,17.66,4.392,3.369,0.1455,7,7,7,7
9,2020,14.08,3.501,2.685,0.06599,13.32,2.267,1.739,0.04528,14.58,5.053,3.876,0.08562,7,7,7,7
10,2020,10.34,4.17,3.198,0.1303,9.66,3.09,2.37,0.08864,10.8,5.376,4.123,0.1826,7,7,7,7
11,2020,7.54,4.693,3.6,0.07032,7.227,3.493,2.679,0.03139,8.003,6.253,4.796,0.1029,7,7,7,7
12,2020,4.117,4.101,3.145,0.08441,3.787,3.184,2.442,0.06667,4.452,5.123,3.929,0.1039,7,7,7,7
