"source","sep.meth","slurry.source","set","DM.lf","DM.raw","DM.sf","TAN.sep.eff.lf","TAN.sep.eff.sf","pH.lf","pH.raw","pH.sf","dDM.lf","dDM.sf","rdDM.lf","rdDM.sf","dpH.lf","dpH.sf"
"Møller et al. (2002)","centrifuge","digestate",8,2.23,5.62,28.08,NA,NA,NA,8.3,NA,-3.39,22.46,-60.3202846975089,399.644128113879,NA,NA
"Møller et al. (2002)","centrifuge","digestate",9,2.44,6.53,25.27,NA,NA,NA,8.1,NA,-4.09,18.74,-62.6339969372129,286.98315467075,NA,NA
"Møller et al. (2002)","centrifuge","digestate",10,1.96,3.55,29.99,NA,NA,NA,8.1,NA,-1.59,26.44,-44.7887323943662,744.788732394366,NA,NA
"Møller et al. (2002)","centrifuge","digestate",11,2.3,3.94,20.19,NA,NA,NA,8.2,NA,-1.64,16.25,-41.6243654822335,412.43654822335,NA,NA
"Møller et al. (2002)","centrifuge","pig",1,2.77,5.32,24.56,NA,NA,NA,7.5,NA,-2.55,19.24,-47.9323308270677,361.654135338346,NA,NA
"Møller et al. (2002)","centrifuge","pig",2,2.84,4.79,27.93,NA,NA,NA,7.5,NA,-1.95,23.14,-40.7098121085595,483.089770354906,NA,NA
"Møller et al. (2002)","centrifuge","pig",3,1.39,1.71,18.73,NA,NA,NA,7.2,NA,-0.32,17.02,-18.7134502923977,995.321637426901,NA,NA
"Møller et al. (2002)","centrifuge","pig",4,1.75,2.55,17.82,NA,NA,NA,8.3,NA,-0.8,15.27,-31.3725490196078,598.823529411765,NA,NA
"Møller et al. (2002)","screw press","cattle",13,4.63,6.37,36.47,NA,NA,NA,7.4,NA,-1.74,30.1,-27.3155416012559,472.527472527473,NA,NA
"Møller et al. (2002)","screw press","cattle",14,4.03,4.49,24.97,NA,NA,NA,7.9,NA,-0.46,20.48,-10.2449888641425,456.124721603563,NA,NA
"Møller et al. (2002)","screw press","digestate",15,5.23,5.62,26.84,NA,NA,NA,8.3,NA,-0.39,21.22,-6.93950177935943,377.580071174377,NA,NA
"Møller et al. (2002)","screw press","digestate",16,2.95,3.94,29.84,NA,NA,NA,8.2,NA,-0.99,25.9,-25.1269035532995,657.360406091371,NA,NA
"Møller et al. (2002)","screw press","pig",12,4.25,5.32,34.44,NA,NA,NA,7.5,NA,-1.07,29.12,-20.1127819548872,547.368421052631,NA,NA
"Møller et al. (2007)","centrifuge","cattle",4,3.77,7,21.1,83.9,16.1,NA,NA,NA,-3.23,14.1,-46.1428571428571,201.428571428571,NA,NA
"Møller et al. (2007)","centrifuge","digestate",3,1.63,3.2,32.6,94,6,NA,NA,NA,-1.57,29.4,-49.0625,918.75,NA,NA
"Møller et al. (2007)","centrifuge","pig",1,2.76,5.1,32.7,90.2,9.8,NA,NA,NA,-2.34,27.6,-45.8823529411765,541.176470588235,NA,NA
"Møller et al. (2007)","centrifuge","pig",2,2.07,4,32.7,92.6,7.4,NA,NA,NA,-1.93,28.7,-48.25,717.5,NA,NA
"Møller et al. (2007)","centrifuge","pig",5,2.84,6.8,34.3,90.8,9.2,NA,NA,NA,-3.96,27.5,-58.2352941176471,404.411764705882,NA,NA
"Møller et al. (2007)","centrifuge","pig",6,2.77,6.8,32.5,87.4,12.6,NA,NA,NA,-4.03,25.7,-59.2647058823529,377.941176470588,NA,NA
"Møller et al. (2007)","centrifuge","pig",7,2.56,6.8,25.6,79,21,NA,NA,NA,-4.24,18.8,-62.3529411764706,276.470588235294,NA,NA
"Møller et al. (2007)","centrifuge","pig",8,2.75,6.8,18.6,74,26,NA,NA,NA,-4.05,11.8,-59.5588235294118,173.529411764706,NA,NA
"Møller et al. (2007)","centrifuge","pig",9,2.81,6.8,27.9,92.6,7.4,NA,NA,NA,-3.99,21.1,-58.6764705882353,310.294117647059,NA,NA
"Møller et al. (2007)","centrifuge","pig",10,2.81,6.8,31.9,90.1,9.9,NA,NA,NA,-3.99,25.1,-58.6764705882353,369.117647058824,NA,NA
"Møller et al. (2007)","centrifuge","pig",11,2.77,6.8,32.5,87.4,12.6,NA,NA,NA,-4.03,25.7,-59.2647058823529,377.941176470588,NA,NA
"Møller et al. (2007)","centrifuge","pig",12,4.04,8.9,33,77.7,22.3,NA,NA,NA,-4.86,24.1,-54.6067415730337,270.786516853933,NA,NA
"Møller et al. (2007)","centrifuge","pig",13,4,8.9,33.9,77.3,22.7,NA,NA,NA,-4.9,25,-55.0561797752809,280.898876404494,NA,NA
"Møller et al. (2007)","centrifuge","pig",14,3.9,8.9,41,82,18,NA,NA,NA,-5,32.1,-56.1797752808989,360.674157303371,NA,NA
"Pedersen et al. (2020)","screw press","cattle",1,4.4,8.7,NA,83.3031674208145,NA,NA,NA,NA,-4.3,NA,-49.4252873563218,NA,NA,NA
"Pedersen et al. (2020)","screw press","cattle",2,4.3,8.5,NA,87.2278415909481,NA,NA,NA,NA,-4.2,NA,-49.4117647058824,NA,NA,NA
"Støckler (2022)","screw press","digestate",2,3.99,5.78,27.29,88.1568034818352,2.813274496766,7.83,7.78,8.69,-1.79,21.51,-30.9688581314879,372.145328719723,0.0499999999999998,0.909999999999999
"Støckler (2022)","screw press","pig",1,2.45,NA,22.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Støckler (2022)","screw press","pig",3,2.42,3.75,NA,NA,NA,7.04,6.975,NA,-1.33,NA,-35.4666666666667,NA,0.0650000000000004,NA
"Støckler (2022)","screw press","pig",14,NA,3.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tambone et al. (2017)","screw press","digestate",1,3.59,4.34,17.6,81.4341030069106,3.89514637399202,NA,NA,NA,-0.75,13.26,-17.2811059907834,305.529953917051,NA,NA
"Tambone et al. (2017)","screw press","digestate",2,4.66,5.85,17.4,91.3307359692553,6.4338360694636,NA,NA,NA,-1.19,11.55,-20.3418803418803,197.435897435897,NA,NA
"Tambone et al. (2017)","screw press","digestate",3,3.65,5.34,28.4,92.8488497279844,5.83758548769575,NA,NA,NA,-1.69,23.06,-31.6479400749064,431.835205992509,NA,NA
"Tambone et al. (2017)","screw press","digestate",4,3.79,5.29,21.3,91.3320880558749,5.89031698125178,NA,NA,NA,-1.5,16.01,-28.3553875236295,302.646502835539,NA,NA
"Tambone et al. (2017)","screw press","digestate",5,3.38,4.91,19.7,92.0027669773087,7.78887397395545,NA,NA,NA,-1.53,14.79,-31.1608961303462,301.22199592668,NA,NA
"Tambone et al. (2017)","screw press","digestate",6,4.29,5.73,22.8,93.5018270237198,7.10202710765535,NA,NA,NA,-1.44,17.07,-25.130890052356,297.905759162304,NA,NA
"Tambone et al. (2017)","screw press","digestate",7,3.58,5.01,16.1,84.176428277137,10.9104578848846,NA,NA,NA,-1.43,11.09,-28.5429141716567,221.357285429142,NA,NA
"Tambone et al. (2017)","screw press","digestate",8,4.49,7.16,20.2,70.2738494589294,11.8929906672933,NA,NA,NA,-2.67,13.04,-37.2905027932961,182.122905027933,NA,NA
"Tambone et al. (2017)","screw press","digestate",9,4.86,6.81,18.9,60.8422108033588,12.4459696463342,NA,NA,NA,-1.95,12.09,-28.6343612334802,177.533039647577,NA,NA
"Tambone et al. (2017)","screw press","digestate",10,5.84,8.35,23.5,133.053497451127,11.8158383488067,NA,NA,NA,-2.51,15.15,-30.059880239521,181.437125748503,NA,NA
"Tambone et al. (2017)","screw press","digestate",11,4.23,5.51,22.7,88.7761952476345,5.29005492255865,NA,NA,NA,-1.28,17.19,-23.2304900181488,311.978221415608,NA,NA
"Wu (2007)","screw press","cattle",1,3.29,5.24,23.1,NA,NA,NA,NA,NA,-1.95,17.86,-37.2137404580153,340.839694656489,NA,NA
