General info;;;;;Separation efficiency;;;;Samples;;;Notes;;;;;;;;;
Source;Separation method;Slurry source;Fraction studied;Set;Dry matter separation efficiency (%);Total ammoniacal nitrogen (TAN) separation efficiency (%);% mass after separation;Separation efficiency source in original publication;Dry matter (%);pH;Total ammoniacal nitrogen (TAN) (g/kg);Notes;;;;;;;;;
source;sep.meth;slurry.source;frac;set;DM.sep.eff;TAN.sep.eff;Mass.sep.eff;sep.eff.source;DM;pH;TAN;Notes;;;;;;;;;
Pedersen et al. (2020);screw press;cattle;raw;2;;;;;8.5;;1.9;;;;;;;;;;
Pedersen et al. (2020);screw press;cattle;lf;2;44;87;86;;4.3;;1.92;;;;;;;;;;
Tambone et al. (2017);screw press;digestate;raw;1;;;;;4.34;;3.46;Plant 1. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;lf;1;82.81;81;95;Table 3;3.59;;2.98;Plant 1. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;sf;1;17.19;4;5;Table 3;17.6;;2.52;Plant 1. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;raw;2;;;;;5.85;;3.89;Plant 2. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;lf;2;74.76;91;91;Table 3;4.66;;3.92;Plant 2. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;sf;2;25.24;6;9;Table 3;17.4;;2.68;Plant 2. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;raw;3;;;;;5.34;;2.29;Plant 3. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;lf;3;64.26;93;93;Table 3;3.65;;2.28;Plant 3. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;sf;3;35.74;6;7;Table 3;28.4;;1.95;Plant 3. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;raw;4;;;;;5.29;;2.75;Plant 4. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;lf;4;71.84;91;91;Table 3;3.79;;2.75;Plant 4. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;sf;4;28.16;6;9;Table 3;21.3;;1.89;Plant 4. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;raw;5;;;;;4.91;;2.92;Plant 5. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;lf;5;74;92;91;Table 3;3.38;;2.96;Plant 5. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;sf;5;93;8;9;Table 3;19.7;;2.42;Plant 5. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;raw;6;;;;;5.73;;2.10;Plant 6. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;lf;6;68.71;94;92;Table 3;4.29;;2.13;Plant 6. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;sf;6;31.29;7;8;Table 3;22.8;;1.92;Plant 6. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;raw;7;;;;;5.01;;1.46;Plant 9. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;lf;7;78.63;84;89;Table 3;3.58;;1.39;Plant 9. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;sf;7;42.15;11;11;Table 3;16.1;;1.39;Plant 9. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;raw;8;;;;;7.16;;4.56;Plant 10. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;lf;8;58.96;70;83;Table 3;4.49;;3.86;Plant 10. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;sf;8;41.04;12;17;Table 3;20.2;;3.19;Plant 10. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;raw;9;;;;;6.81;;2.17;Plant 11. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;lf;9;65.56;61;86;Table 3;4.86;;2.26;Plant 11. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;sf;9;34.44;12;14;Table 3;18.9;;1.95;Plant 11. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;raw;10;;;;;8.35;;3.08;Plant 12. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;lf;10;50.8;133;86;Table 3;5.84;;3.02;Plant 12. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;sf;10;49.2;12;14;Table 3;23.5;;2.56;Plant 12. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;raw;11;;;;;5.51;;2.02;Plant 13. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;lf;11;70.63;89;93;Table 3;4.23;;1.93;Plant 13. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Tambone et al. (2017);screw press;digestate;sf;11;29.37;5;7;Table 3;22.7;;1.54;Plant 13. Assume that there is a factor 10 wrong in the reporting of TAN in Table 2.;;;;;;;;;
Wu (2007);screw press;cattle;raw;1;;;;;5.24;;;;;;;;;;;;
Wu (2007);screw press;cattle;lf;1;50;;90;In Results text;3.29;;;;;;;;;;;;
Wu (2007);screw press;cattle;sf;1;50;;10;In Results text;23.1;;;;;;;;;;;;
